Date,TauxEuribor3M,TauxChomages,Inflation,TauxepargneMenage,TauxLivretA,TauxCSL,TauxDAT,TauxBCE,TauxPEL
30/11/2024,3.15,7.56,2.36,16.11,3.00,0.92,3.45,3.25,2.25
31/12/2024,3.01,7.60,2.38,16.12,3.00,0.92,3.30,3.00,2.25
31/01/2025,2.87,7.64,2.40,16.02,3.00,0.92,3.10,3.00,2.25
28/02/2025,2.73,7.68,2.41,15.93,2.76,0.92,3.05,2.75,2.01
31/03/2025,2.62,7.73,2.42,15.83,2.69,0.92,2.95,2.75,1.94
30/04/2025,2.52,7.77,2.18,15.78,2.63,0.92,2.85,2.75,1.88
31/05/2025,2.43,7.81,1.93,15.73,2.56,0.92,2.70,2.75,1.81
30/06/2025,2.38,7.85,1.69,15.67,2.51,0.92,2.55,2.75,1.76
31/07/2025,2.33,7.89,1.69,15.67,2.43,0.92,2.35,2.50,1.68
31/08/2025,2.29,7.93,1.69,15.66,2.36,0.92,2.30,2.50,1.61
30/09/2025,2.26,7.98,1.69,15.65,2.30,0.92,2.20,2.50,1.55
31/10/2025,2.23,8.02,1.81,15.91,2.28,0.92,2.10,2.50,1.53
30/11/2025,2.22,8.06,1.92,16.16,2.26,0.92,2.10,2.50,1.51
31/12/2025,2.22,8.10,2.04,16.41,2.25,0.92,2.10,2.25,1.50
31/01/2026,2.23,8.10,2.03,16.29,2.25,0.92,2.10,2.25,1.50
28/02/2026,2.25,8.10,2.02,16.17,2.25,0.92,2.10,2.25,1.50
31/03/2026,2.21,8.10,2.01,16.06,2.27,0.92,2.10,2.25,1.52
30/04/2026,2.16,8.10,2.02,15.67,2.28,0.92,2.10,2.25,1.53
31/05/2026,2.11,8.10,2.04,15.29,2.28,0.92,2.10,2.25,1.53
30/06/2026,2.17,8.10,2.05,14.90,2.26,0.92,2.10,2.25,1.51
31/07/2026,2.24,8.10,2.04,15.02,2.24,0.92,2.10,2.25,1.49
31/08/2026,2.31,8.10,2.02,15.14,2.22,0.92,2.10,2.25,1.47
30/09/2026,2.29,8.10,2.00,15.26,2.25,0.92,2.10,2.25,1.50
31/10/2026,2.27,8.10,2.03,15.21,2.28,0.92,2.10,2.25,1.53
30/11/2026,2.25,8.10,2.05,15.15,2.31,0.92,2.10,2.25,1.56
31/12/2026,2.23,8.10,2.07,15.09,2.30,0.92,2.10,2.25,1.55
31/01/2027,2.21,8.08,2.05,15.03,2.30,0.92,2.10,2.25,1.55
28/02/2027,2.19,8.05,2.04,14.97,2.29,0.92,2.10,2.25,1.54
31/03/2027,2.17,8.03,2.03,14.90,2.28,0.92,2.10,2.25,1.53
30/04/2027,2.15,8.00,1.99,14.85,2.27,0.92,2.10,2.25,1.52
31/05/2027,2.13,7.98,1.96,14.79,2.26,0.92,2.10,2.25,1.51
30/06/2027,2.19,7.95,1.92,14.73,2.25,0.92,2.10,2.25,1.50
31/07/2027,2.25,7.93,1.91,14.67,2.23,0.92,2.10,2.25,1.48
31/08/2027,2.32,7.90,1.91,14.60,2.22,0.92,2.20,2.25,1.47
